date,close,全收益收盘点位(元),市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2006/1/24,999.093,,2.46062E+12,6.52489E+11,15.0155,0.9282,14.5895,13.9385,13.417
2006/1/25,1009.597,,2.47998E+12,6.59216E+11,15.1337,0.9643,14.5984,13.9498,13.417
2006/2/6,1033.234,,2.5406E+12,6.74628E+11,15.5036,0.9949,14.6082,13.9629,13.417
2006/2/7,1029.937,,2.52876E+12,6.72531E+11,15.4314,0.9848,14.6082,13.976,13.4182
2006/2/8,1033.072,,2.54182E+12,6.74451E+11,15.511,1,14.6128,13.9802,13.4182
2006/2/9,1019.599,,2.50177E+12,6.65679E+11,15.2697,0.96,14.6219,13.9844,13.4182
2006/2/10,1032.337,,2.52766E+12,6.74063E+11,15.4266,0.9751,14.6424,13.991,13.4182
2006/2/13,1031.614,,2.52023E+12,6.74021E+11,15.3845,0.9653,14.6493,13.9977,13.4182
2006/2/14,1038.531,,2.5301E+12,6.78303E+11,15.4572,0.9803,14.6493,13.9982,13.4229
2006/2/15,1041.66,,2.56256E+12,6.80404E+11,15.6542,1,14.6554,13.9987,13.4229
2006/2/16,1020.121,,2.51083E+12,6.67142E+11,15.3381,0.9512,14.6574,14.0013,13.4229
2006/2/17,1020.368,,2.50861E+12,6.671E+11,15.3282,0.9466,14.6652,14.0039,13.4229
2006/2/20,1021.639,,2.5154E+12,6.68513E+11,15.3897,0.9565,14.6768,14.0072,13.4229
2006/2/21,1038.816,,2.55672E+12,6.79711E+11,15.6684,1,14.6768,14.0106,13.4615
2006/2/22,1037.885,,2.55013E+12,6.79416E+11,15.6281,0.9904,14.6862,14.0108,13.4615
2006/2/23,1041.373,,2.55979E+12,6.81719E+11,15.6817,1,14.6952,14.011,13.4615
2006/2/24,1049.444,,2.57293E+12,6.87043E+11,15.7596,1,14.7036,14.0131,13.4615
2006/2/27,1047.845,,2.5746E+12,6.93303E+11,15.7634,1,14.7489,14.0151,13.4615
2006/2/28,1053.01,,2.57564E+12,6.96933E+11,15.7613,0.9953,14.7489,14.0152,13.466
2006/3/1,1056.619,,2.58472E+12,6.99503E+11,15.8177,1,14.7653,14.0153,13.466
2006/3/2,1038.666,,2.53964E+12,6.87458E+11,15.5197,0.9628,14.8004,14.0195,13.466
